Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Motherboard,GIGABYTE B860M DS3H WIFI6E (rev. 1.0) Intel B860 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 24,000","৳ 25,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B860 EAGLE WIFI6E DDR5 INTEL GAMING MOTHERBOARD,GIGABYTE,"৳ 33,500","৳ 34,500","৳ 1,000",In Stock
Motherboard,GIGABYTE B860M GAMING WIFI6 Intel B860 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 24,500","৳ 26,000","৳ 1,500",In Stock
Motherboard,Gigabyte B860M AORUS ELITE WIFI6E ICE DDR5 Intel Gaming Motherboard,Gigabyte,"৳ 34,000","৳ 35,000","৳ 1,000",In Stock
Motherboard,Gigabyte B860 AORUS ELITE ICE Wi-Fi 7 DDR5 Gaming Motherboard,Gigabyte,"৳ 36,000","৳ 37,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B860M AORUS ELITE WIFI6E Intel B860 Chip DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 33,000","৳ 34,000","৳ 1,000",In Stock
Motherboard,Gigabyte Z890 AI TOP Intel Wi-Fi7 E-ATX Motherboard,Gigabyte,Checkout Discount 1500 TK,"৳ 85,000","৳ 4,000","৳ 89,000"
Motherboard,GIGABYTE B850 EAGLE WIFI 6E AMD B850 ATX Motherboard,GIGABYTE,"৳ 27,500","৳ 30,500","৳ 3,000",In Stock
Motherboard,AFOX AFOX B550-MA-V2 DDR4 AM4 Micro ATX Motherboard,AFOX,"৳ 9,200","৳ 10,600","৳ 1,400",In Stock
Motherboard,Gigabyte Z890M GAMING X LGA 1851 Micro-ATX Motherboard,Gigabyte,"৳ 32,500","৳ 33,500","৳ 1,000",In Stock
Motherboard,Gigabyte B850M Gaming X WF6E AM5 Micro ATX Motherboard,Gigabyte,"৳ 30,500","৳ 35,000","৳ 4,500",In Stock
Motherboard,Gigabyte Z890 AORUS ELITE ICE Intel Core Ultra LGA1851 Socket Gaming Motherboard,Gigabyte,"৳ 46,700","৳ 47,500",৳ 800,In Stock
Motherboard,Gigabyte B850M Aorus Elite WF6E ICE Micro ATX AMD Motherboard,Gigabyte,"৳ 32,999","৳ 36,000","৳ 3,001",In Stock
Motherboard,AFOX B450D4-MA-V4 DDR4 AM4 Micro ATX Motherboard,AFOX,"৳ 7,200","৳ 8,100",৳ 900,In Stock
Motherboard,AFOX B760D5-MA-V2 DDR5 14th Gen DDR5 Micro ATX Motherboard,AFOX,"৳ 9,700","৳ 11,500","৳ 1,800",In Stock
Motherboard,AFOX B760D4-MA-V4 DDR4 14th Gen DDR4 Micro ATX Motherboard,AFOX,"৳ 9,500","৳ 11,000","৳ 1,500",In Stock
Motherboard,AFOX IH610D4-MA5-V2 DDR4 14th Gen DDR4 Micro ATX Motherboard,AFOX,"৳ 8,200","৳ 9,000",৳ 800,In Stock
Motherboard,GIGABYTE B850M D3HP AM5 Micro ATX Motherboard,GIGABYTE,"৳ 17,900","৳ 23,500","৳ 5,600",In Stock
Motherboard,Gigabyte B650M GAMING WIFI Micro ATX Motherboard,Gigabyte,"৳ 17,000","৳ 18,800","৳ 1,800",In Stock
Motherboard,ASUS ProArt Z890-Creator WiFi Intel Core Ultra Series 2 AI ATX Motherboard,ASUS,"৳ 81,000","৳ 90,900","৳ 9,900",In Stock
Motherboard,MSi B550M PRO-VDH AM4 AMD B550 DDR4 M-ATX Motherboard,MSi,"৳ 13,900","৳ 14,900","৳ 1,000",In Stock
Motherboard,ASUS PRIME H610M-F D4 R2.0 Intel 14th & 13th Gen Micro-ATX Motherboard,ASUS,"৳ 9,900","৳ 11,800","৳ 1,900",In Stock
