Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Graphics Card,OCPC GT 730 4GB DDR3 Gaming Graphics Card,OCPC,"৳ 6,500","৳ 8,500","৳ 2,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 3050 6GB GDDR6 Twin Edge OC Graphics Card,ZOTAC,"৳ 33,900","৳ 35,000","৳ 1,100",In Stock
Graphics Card,Powercolor Hellhound Sakura AMD Radeon RX 7800 XT 16GB GDDR6 Limited Edition Graphics Card,Powercolor,"৳ 84,000","৳ 89,000","৳ 5,000",In Stock
Graphics Card,PowerColor Fighter AMD Radeon RX 7600 8GB GDDR6 Graphics Card,PowerColor,"৳ 45,000","৳ 47,000","৳ 2,000",In Stock
Graphics Card,GIGABYTE Intel Arc A380 GAMING OC 6GB GDDR6 Graphics Card,GIGABYTE,"৳ 21,500","৳ 22,500","৳ 1,000",In Stock
Graphics Card,Unika Radeon RX 580 BLIZZARDS 8GD5 V2 Graphics Card,Unika,"৳ 16,500","৳ 17,500","৳ 1,000",In Stock
Graphics Card,MSI GeForce RTX 3050 VENTUS 2X 6G OC GRAPHICS CARD,MSI,"৳ 29,000","৳ 35,000","৳ 6,000",In Stock
Graphics Card,MSI GeForce RTX 4060 Ti Gaming Slim X GC30 Monster Hunter Edition 3X 8GB GDDR6 Graphics Card,MSI,"৳ 75,000","৳ 77,000","৳ 2,000",In Stock
Graphics Card,GUNNIR ARC A580 8GB INDEX GRAPHICS CARD,GUNNIR,"৳ 25,200","৳ 28,500","৳ 3,300",In Stock
Graphics Card,ZOTAC GAMING GEFORCE RTX 3050 ECO 8GB GDDR6 GRAPHICS CARD,ZOTAC,"৳ 34,999","৳ 38,500","৳ 3,501",In Stock
Graphics Card,GIGABYTE GEFORCE RTX 4070 TI EAGLE 12G GRAPHICS CARD,GIGABYTE,"৳ 122,000","৳ 125,999","৳ 3,999",In Stock
Graphics Card,GIGABYTE GEFORCE RTX 4070 TI WINDFORCE OC 12G GRAPHICS CARD,GIGABYTE,"৳ 122,000","৳ 125,999","৳ 3,999",In Stock
